"_time","7 Day Positivity Avg"
"2020-07-06T00:00:00.000-0500",
"2020-07-07T00:00:00.000-0500",
"2020-07-08T00:00:00.000-0500",
"2020-07-09T00:00:00.000-0500",
"2020-07-10T00:00:00.000-0500",
"2020-07-13T00:00:00.000-0500",
"2020-07-14T00:00:00.000-0500","0.33"
"2020-07-15T00:00:00.000-0500","0.44"
"2020-07-16T00:00:00.000-0500","0.56"
"2020-07-17T00:00:00.000-0500","0.56"
"2020-07-20T00:00:00.000-0500","0.59"
"2020-07-21T00:00:00.000-0500","0.57"
"2020-07-22T00:00:00.000-0500","0.60"
"2020-07-23T00:00:00.000-0500","0.67"
"2020-07-24T00:00:00.000-0500","0.57"
"2020-07-27T00:00:00.000-0500","0.49"
"2020-07-28T00:00:00.000-0500","0.47"
"2020-07-29T00:00:00.000-0500","0.42"
"2020-07-30T00:00:00.000-0500","0.42"
"2020-07-31T00:00:00.000-0500","0.35"
"2020-08-03T00:00:00.000-0500","0.22"
"2020-08-04T00:00:00.000-0500","0.19"
"2020-08-05T00:00:00.000-0500","0.19"
"2020-08-06T00:00:00.000-0500","0.20"
"2020-08-07T00:00:00.000-0500","0.22"
"2020-08-10T00:00:00.000-0500","0.16"
"2020-08-11T00:00:00.000-0500","0.15"
"2020-08-12T00:00:00.000-0500","0.16"
"2020-08-15T00:00:00.000-0500","0.18"
"2020-08-16T00:00:00.000-0500","0.18"
"2020-08-17T00:00:00.000-0500","0.21"
"2020-08-18T00:00:00.000-0500","0.23"
"2020-08-19T00:00:00.000-0500","0.30"
"2020-08-20T00:00:00.000-0500","0.37"
"2020-08-21T00:00:00.000-0500","0.41"
"2020-08-22T00:00:00.000-0500","0.47"
"2020-08-23T00:00:00.000-0500","0.54"
"2020-08-24T00:00:00.000-0500","0.55"
"2020-08-25T00:00:00.000-0500","0.58"
"2020-08-26T00:00:00.000-0500","0.61"
"2020-08-27T00:00:00.000-0500","0.58"
"2020-08-28T00:00:00.000-0500","0.57"
"2020-08-29T00:00:00.000-0500","0.58"
"2020-08-30T00:00:00.000-0500","0.65"
"2020-08-31T00:00:00.000-0500","0.85"
"2020-09-01T00:00:00.000-0500","1.01"
"2020-09-02T00:00:00.000-0500","1.10"
"2020-09-03T00:00:00.000-0500","1.14"
"2020-09-04T00:00:00.000-0500","1.21"
"2020-09-05T00:00:00.000-0500","1.19"
"2020-09-06T00:00:00.000-0500","1.11"
"2020-09-07T00:00:00.000-0500","1.05"
"2020-09-08T00:00:00.000-0500","0.90"
"2020-09-09T00:00:00.000-0500","0.72"
"2020-09-10T00:00:00.000-0500","0.73"
"2020-09-11T00:00:00.000-0500","0.64"
"2020-09-12T00:00:00.000-0500","0.57"
"2020-09-13T00:00:00.000-0500","0.52"
"2020-09-14T00:00:00.000-0500","0.44"
